id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19622555,"Porto Central Suite 3 (AC) Trindade, Aliados Ave.",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15239,-8.61006,Private room,46,2,159,2022-09-08,2.54,18,92,30,49949/AL
19698957,Valentina Apartment With Backyard (AC)  + Metro,143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16182,-8.61194,Entire home/apt,71,2,100,2022-09-04,1.61,18,53,18,54171/AL
19624418,PinPorto Downtown,48191387,PinPorto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15064,-8.61189,Entire home/apt,96,2,227,2022-09-01,3.61,6,288,25,51081/AL
19630767,Oporto SB Loft,139227366,Sara,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15252,-8.60541,Entire home/apt,85,2,137,2022-09-13,2.20,1,140,53,49981/AL
19700304,"Camélia Apartment (AC)  Cozy , Balcony  (Metro)",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.16117,-8.6094,Entire home/apt,68,2,142,2022-09-11,2.27,18,62,25,54173/AL
19634408,"Porto Central Suite 4 (AC) Trindade, Aliados Ave.",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15212,-8.61021,Private room,48,2,177,2022-09-08,2.82,18,104,26,49949/AL
19651174,Apartment at Campo Center Great location.,67054724,Vitor&Ana,PORTO,Bonfim,41.14972,-8.59935,Entire home/apt,73,2,42,2022-08-30,0.67,12,1,8,59340/AL
19666593,Casas de SantAna - Old town amazing views,35205902,Cláudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1426,-8.61325,Entire home/apt,127,2,315,2022-08-24,5.00,4,231,72,49943/AL
19700390,"Tulipa Apartment, Calm & Central  (Metro)",143402005,António,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.161,-8.61098,Entire home/apt,65,2,130,2022-08-28,2.07,18,61,22,54179/AL
19667175,Casas de SantAna - Old town river views,35205902,Cláudia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1426,-8.61325,Entire home/apt,126,2,305,2022-08-19,4.86,4,275,74,49946/AL
19700468,GuestReady Sliding Doors,364783572,GuestReady,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14933,-8.61542,Entire home/apt,68,2,181,2022-09-09,2.87,218,339,39,50658/AL
19705232,Great Double Room in Lima House,43623823,Inês,PORTO,Bonfim,41.15913,-8.60175,Private room,83,3,82,2022-03-16,1.30,4,0,4,51006/AL
19707583,"Be my guest at Silva Tapada, Porto.",80533762,Gustavo,PORTO,Bonfim,41.16582,-8.59181,Entire home/apt,50,3,132,2022-08-21,2.10,2,205,10,49280/AL
19870097,Porto HanginGardens,48508027,Carlos,PORTO,Bonfim,41.16389,-8.6001,Entire home/apt,74,2,146,2022-08-27,2.35,1,359,18,
19713938,O'porto São João 2E,54040900,Maria,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1419,-8.61363,Entire home/apt,114,2,162,2022-09-10,2.58,18,350,41,38415/AL
19721015,Penthouse with a terrace - a real apartment,26798902,Susana,PORTO,Bonfim,41.14484,-8.59931,Entire home/apt,85,3,62,2020-07-08,0.99,1,0,0,60694/AL
19872662,Quinta de Mourães - Double Room,139446032,Luís,VILA NOVA DE GAIA,"Sandim, Olival, Lever e Crestuma",41.05437,-8.48626,Private room,120,1,0,,,3,360,0,
19872679,Next to the Airport/up to 3 people double room,140588482,Maria Rosa Pereira,MAIA,Moreira,41.24015,-8.66399,Private room,63,1,346,2022-09-06,5.54,3,314,56,54499/AL
19725345,Blue Elegance in Lapa - Porto Center,139050783,Jorge,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15829,-8.61135,Entire home/apt,40,2,45,2018-10-27,0.72,1,0,0,50879/AL
19873076,Porto Garden Villas | Downtown 1 (w/Jacuzzi),96831178,OportoHouses |,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12957,-8.6106,Entire home/apt,110,1,17,2022-08-27,0.27,16,265,4,54302/AL
19730869,Merc Porto Ribeira`s Place,124699338,Merc,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14143,-8.61354,Entire home/apt,180,2,189,2022-09-06,3.41,11,315,62,40970/AL
19731194,Merc Porto Downtown's Place,124699338,Merc,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14222717285156,-8.616087913513184,Entire home/apt,107,2,117,2022-09-10,2.29,11,325,43,37065/AL
19731345,"Merc Porto Vitoria's Place
Vistas para o Rio Douro",124699338,Merc,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14356,-8.61576,Entire home/apt,127,2,108,2022-09-11,2.45,11,316,46,73378/AL
19873505,Porto Garden Villas | Downtown 2 (w/Jacuzzi),96831178,OportoHouses |,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.12964,-8.61052,Entire home/apt,110,1,13,2022-08-31,0.21,16,261,5,53544/AL
19874007,"Casa da Andorinha Porto Bolhão, central and quiet",96318687,Renata,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14924,-8.60295,Entire home/apt,75,2,30,2022-09-11,0.52,1,189,9,96063/AL
19731883,LOVELY PORTO,139110639,Ruis,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15077,-8.61209,Entire home/apt,75,2,185,2022-09-03,2.95,55,324,42,50351/AL
19731976,Apartamento Praia de Espinho,139110971,Edite,ESPINHO,Espinho,41.00995,-8.63893,Entire home/apt,78,3,36,2022-08-28,0.58,2,363,8,102760/AL
19874081,Trindade @ Downtown + Fast Internet,2730238,Daniel Y Nuno,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15297,-8.6068,Entire home/apt,65,2,94,2020-02-28,1.52,11,191,0,52254/AL
19732424,Casa da Visa - Heated pool from May to October,77937415,Isabel,VILA DO CONDE,Vilar de Pinheiro,41.26565,-8.66838,Entire home/apt,289,2,58,2022-07-19,0.93,1,235,13,46767/AL
19880997,Casa do Cubais Serra da Freita Arouca Aveiro Porto,83601959,Victor E Virginie,VALE DE CAMBRA,Cepelos,40.84191,-8.30655,Entire home/apt,106,2,45,2022-08-20,0.72,5,364,5,
19732970,Porto Garden Villas | Large groups (w/Jacuzzi),96831178,OportoHouses |,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.1297,-8.61172,Entire home/apt,404,2,49,2022-08-18,0.79,16,349,6,56090/AL
19882676,Sleep In Centre - Apartments 2D,140711221,Sleep In Centre,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.1493,-8.60335,Entire home/apt,226,1,11,2022-08-04,0.18,3,291,2,49283/AL
19883897,Quinta Das Telhas Freita Arouca Aveiro Porto,83601959,Victor E Virginie,VALE DE CAMBRA,Cepelos,40.84275,-8.30326,Entire home/apt,216,2,53,2022-07-03,0.85,5,343,8,
19736007,InSitu Fromosa 178 - Blue Mesanine,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14786,-8.60448,Entire home/apt,100,1,30,2022-09-01,0.48,28,328,8,53716/AL
19736281,InSitu Formosa 178 - Relax Mesanine,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14786,-8.60448,Entire home/apt,122,1,42,2022-08-09,0.67,28,301,13,53710/AL
19736528,InSitu Formosa 178 - Lifestyle Mesanine,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14786,-8.60448,Entire home/apt,130,1,29,2022-08-20,0.46,28,337,5,53714/AL
19886024,Granja by the sea,140749995,Joaquim,VILA NOVA DE GAIA,São Félix da Marinha,41.02959,-8.64272,Entire home/apt,50,2,25,2019-06-10,0.40,1,0,0,Exempt
19736661,InSitu Formosa 178 - Red Safari with Balcony,132601835,Guestify,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14786,-8.60448,Entire home/apt,108,1,34,2022-08-22,0.54,28,315,4,53708/AL
19887557,PORTO CLÉRIGOS Apartment Tulip (3rd),29026904,Carlos Augusto,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.145615,-8.614223,Entire home/apt,84,2,67,2022-08-22,1.20,4,306,9,56921/AL
